Consultant Name,Amount,Quarter Start Date,Quarter End Date,Year,Quarter,Committee Name
delivered by Todd David,2000.00,2014 March 01,2014 May 31,2014,2,Choose Health SF
delivered by Todd David,2000.00,2014 March 01,2014 May 31,2014,2,Choose Health SF
"Okpaku, Joseph (Tourk, Alex)",250.00,2016 September 01,2016 November 30,2016,4,Re-Elect London Breed for Supervisor 2016 FPPC #1345505
"Bowman, Christopher L.",137.00,2011 September 01,2011 November 30,2011,4,Michela Alioto-Pier for Mayor
"Blake, Ryan",100.00,2018 March 01,2018 May 31,2018,2,Rafael Mandelman for Supervisor
Kaylah Williams,100.00,2018 December 01,2019 February 28,2019,1,Shanell Williams for Supervisor
Hsieh Associates,250.00,2013 March 01,2013 May 30,2013,2,George Gascon for City Attorney
"Mesloh, Debbie",100.00,2010 September 01,2010 November 30,2010,4,Rebecca Prozan for Supervisor 2010
"Golinger, Jon",400.00,2018 March 01,2018 May 31,2018,2,Jane Kim for Mayor 2018
John Whitehurst (Whitehurst Mosher Campaign Strategy & Media),500.00,2016 March 01,2016 May 31,2016,2,2016 Aaron Peskin for Supervisor
Muir Consulting,250.00,2016 March 01,2016 May 31,2016,2,Jose Arce for Supervisor 2016
"Bowman, Christopher L.",100.00,2011 September 01,2011 November 30,2011,4,Michela Alioto-Pier for Mayor
"Newman, Dan (SCN Strategies)",500.00,2015 June 01,2015 August 31,2015,3,Scott Wiener for State Senate 2016
"Newman, Dan (SCN Strategies)",500.00,2015 June 01,2015 August 31,2015,3,Scott Wiener for State Senate 2016
"Wedge, Julie",100.00,2016 June 01,2016 August 31,2016,3,Joshua Arce for Supervisor
"Newman, Dan (SCN Strategies)",500.00,2014 September 01,2014 November 30,2014,4,Ed Lee for Mayor 2015
"Whitehurst, John",500.00,2012 September 01,2012 November 30,2012,4,Re-Elect David Campos for Supervisor 2012
"Whitehurst, John",250.00,2012 September 01,2012 November 30,2012,4,2012 Sam for SF School Board
